poi_id,category,lat,lon
0,Apartment,38.5788522781,-121.4741066358
1,Other - Nightlife,38.5751378,-121.4736502333
2,Mexican,38.57367395,-121.4689636167
3,Dive Bar,38.5790152667,-121.46579725
4,Victorian,38.58396925,-121.4858337833
5,Other - Food,38.57199535,-121.4660017333
6,Coffee Shop,38.5799636056,-121.4935760756
7,Corporate Office,38.5767026095,-121.4874897775
8,Asian,38.5763707667,-121.4877034667
9,Modern Hotel,38.5802098333,-121.4936275
10,Mall,38.5807732872,-121.5013968945
11,Starbucks,38.5830494913,-121.4996003758
12,Target,38.5619994333,-121.49778775
13,Chipotle,38.5736361833,-121.4826937333
14,Fine Dining,38.5746146,-121.48200855
15,Burgers,38.5778171038,-121.4842436325
16,Bowling,38.5820477134,-121.5194157304
17,Mexican,38.56622975,-121.4912155833
18,Sandwich Shop,38.5735105333,-121.4814403167
19,Saloon,38.5702553008,-121.4916992371
20,Italian,38.5742187345,-121.4839787117
21,Coffee Shop,38.5740824167,-121.48387705
22,Mexican,38.5678616833,-121.4896182333
23,Mexican,38.5745191,-121.4838555167
24,Sports Bar,38.574554575,-121.4856032211
25,Dive Bar,38.5710417705,-121.4847345456
26,Chipotle,38.0055463667,-121.83952025
27,Contemporary Church,37.7990485833,-122.1830744667
28,Trader Joe's,37.8100000167,-122.2443199333
29,Ice Cream,37.8279041024,-122.2502374649
30,Corporate Office,37.7725201833,-121.96593875
31,Mediterranean,37.7788423667,-121.9695001167
32,24 Hour Fitness,37.6945166333,-122.0513305333
33,Asian,37.8182458833,-121.9965004833
34,Gas & Automotive,37.70579695,-121.9263982667
35,Pizza,37.7776382667,-121.9721381833
36,Chipotle,37.7752477167,-121.9779841667
37,Mexican,37.9446789333,-122.0560803667
38,Sonic,37.619043,-122.0351608833
39,Target,37.6999216167,-122.12716685
40,Burgers,37.84652115,-122.2522661
41,Trader Joe's,37.8457487833,-122.2524491
42,Target,37.7616827167,-121.9635105833
43,Frozen Yogurt,37.7629898167,-121.9617894
44,American,37.7561670093,-122.2499766994
45,Mall,37.7572799255,-122.2513532639
46,Apparel,37.7571017961,-122.2533595562
47,Old Navy,37.7568049127,-122.2525763512
48,Trader Joe's,37.7577227,-122.2512873
49,Diner,37.7035519333,-121.88435345
50,Drugstore & Pharmacy,32.7501701167,-117.1618931
51,Mall,32.76792575,-117.1661361667
52,American,32.76940765,-117.16537205
53,Apple Store,32.7682411523,-117.1657454967
54,Mall,33.1273628,-117.32201855
55,Technology,32.8013980863,-117.1146440506
56,Women's Apparel,32.7679429,-117.1661720333
57,City Park,32.73427245,-117.1590392333
58,Terminal,32.7321993667,-117.1977367167
59,Airport,37.7141770694,-122.2108411789
60,Terminal,37.7105274475,-122.2120428085
61,Other - Shopping,37.77361255,-121.9744879333
62,Food & Foodies,37.7733190634,-121.9762737843
63,Frozen Yogurt,37.9446841167,-122.0566858333
64,Grocery,37.79834705,-122.1827398833
65,Burgers,37.7964553833,-122.1816635132
66,Other - Services,37.9494061667,-122.0607060167
67,Target,37.9047508171,-122.064242363
68,Subway,37.9057074019,-122.0673537254
69,24 Hour Fitness,37.9074504333,-122.0649382167
70,Steakhouse,37.83416035,-122.2921647333
71,Mall,37.8349373864,-122.2922515869
72,Apple Store,37.8357762514,-122.2922730446
73,Old Navy,37.8340730913,-122.2923696041
74,Burgers,37.8331918387,-122.2918760777
75,Barnes & Noble,37.833386732,-122.2927129269
76,Brewery / Microbrewery,37.9691481167,-122.06199475
77,Mall,37.9679807833,-122.0607351167
78,Grocery,37.4691180167,-122.4355175833
79,Wine & Spirits,37.9272723833,-122.06119695
80,Food & Foodies,37.7688843206,-122.2337985722
81,24 Hour Fitness,37.7687302038,-122.2256040573
82,Chipotle,37.7561602476,-122.2501194477
83,Walgreens,37.7574092333,-122.2493629333
84,Starbucks,37.89899116,-122.06108415
85,Mall,37.9449115,-122.0559115167
86,Gas & Automotive,38.0083139,-121.8919838167
87,Bookstore,37.7569830429,-122.2497975826
88,Plaza / Square,37.7106559667,-122.1632924167
89,Apparel,37.7100910167,-122.1641543833
